序號,抽籤日期,證券名稱,證券代號,發行市場,申購開始日,申購結束日,承銷股數,實際承銷股數,承銷價(元),實際承銷價(元),撥券日期(上市、上櫃日期),主辦券商,申購股數,總承銷金額(元),總合格件,中籤率(%),取消公開抽籤 
272,114/01/09,青松健康,6931,初上市,114/01/03,114/01/07,"1,137,000","1,137,000",67,67,114/01/15,福邦,"1,000","76,179,000","190,145",0.59,
273,114/01/09,富威電力,6994,初上市,114/01/03,114/01/07,"1,885,000","1,885,000",81,81,114/01/15,福邦,"1,000","152,685,000","208,853",0.9,
274,114/01/09,裕山,7715,初上櫃,114/01/03,114/01/07,"766,000","766,000",39.6,39.6,114/01/15,永豐金,"1,000","30,333,600","123,796",0.61,
275,114/01/08,金興精密,7732,初上市,114/01/02,114/01/06,"1,120,000","1,120,000",40,40,114/01/14,福邦,"1,000","44,800,000","109,883",1.01,
276,114/01/07,天方能源,3073,上櫃增資,113/12/31,114/01/03,"425,000","425,000",53,53,114/01/15,兆豐,"1,000","22,525,000","31,064",1.36,
277,114/01/03,伯特光,6859,上櫃增資,113/12/27,113/12/31,"170,000","170,000",138,138,114/01/13,福邦,"1,000","23,460,000","142,483",0.11,
278,114/01/02,鈺齊-KY,9802,第一上市公司現金增資,113/12/26,113/12/30,"850,000","850,000",76,76,114/01/10,國票,"1,000","64,600,000","220,608",0.38,
279,114/01/02,華安,6657,上市增資,113/12/26,113/12/30,"1,080,000","1,080,000",48,48,114/01/10,元大,"1,000","51,840,000","15,280",7.06,
280,113/12/31,綠河-KY,8444,第一上櫃公司現金增資,113/12/25,113/12/27,"900,000","900,000",31,31,114/01/09,統一,"1,000","27,900,000","4,799",18.75,
281,113/12/26,東典光電,6588,上櫃增資,113/12/20,113/12/24,"680,000","680,000",32.5,32.5,114/01/06,兆豐,"1,000","22,100,000","126,429",0.53,
282,113/12/26,鑫創,3259,上櫃增資,113/12/20,113/12/24,"1,360,000","1,360,000",22,22,114/01/06,群益金鼎,"1,000","29,920,000","6,098",22.3,
283,113/12/24,三商壽,2867,上市增資,113/12/18,113/12/20,"25,500,000","25,500,000",6.3,6.3,114/01/02,華南永昌,"5,000","160,650,000","7,034",72.5,
284,113/12/24,金雨,4503,上櫃增資,113/12/18,113/12/20,"1,020,000","1,020,000",37.5,37.5,114/01/02,元大,"1,000","38,250,000","188,204",0.54,
285,113/12/23,三地開發,1438,上市增資,113/12/17,113/12/19,"1,800,000","1,800,000",50,50,113/12/31,統一,"1,000","90,000,000","23,300",7.72,
286,113/12/23,華晶科,3059,上市增資,113/12/17,113/12/19,"2,295,000","2,295,000",26.8,26.8,113/12/31,凱基,"1,000","61,506,000","125,211",1.83,
287,113/12/20,博盛半導體,7712,初上櫃,113/12/16,113/12/18,"553,000","553,000",186,186,113/12/26,兆豐,"1,000","102,858,000","88,981",0.62,
288,113/12/19,金萬林-創,6645,創新板上市現增,113/12/13,113/12/17,"595,000","595,000",23,23,113/12/27,華南永昌,"1,000","13,685,000","3,698",16.08,
289,113/12/16,安碁資訊,6690,上櫃增資,113/12/10,113/12/12,"680,000","680,000",200,200,113/12/24,台新,"1,000","136,000,000","66,437",1.02,
290,113/12/12,大井泵浦,6982,初上櫃,113/12/06,113/12/10,"850,000","850,000",51,51,113/12/18,華南永昌,"1,000","43,350,000","171,738",0.49,
291,113/12/11,易飛網,2734,上櫃增資,113/12/05,113/12/09,"1,275,000","1,275,000",23.5,23.5,113/12/19,第一金,"1,000","29,962,500","178,410",0.71,
292,113/12/10,全福生技,6885,初上市,113/12/04,113/12/06,"2,680,000","2,680,000",32.31,32.31,113/12/16,元富,"1,000","86,590,800","128,951",2.07,
293,113/12/10,明遠精密,7704,初上櫃,113/12/04,113/12/06,"572,000","572,000",69,69,113/12/16,凱基,"1,000","39,468,000","207,045",0.27,
294,113/12/10,博弘,6997,初上櫃,113/12/04,113/12/06,"595,000","595,000",101,101,113/12/16,元大,"1,000","60,095,000","182,136",0.32,
295,113/12/09,易發,6425,上櫃增資,113/12/03,113/12/05,"425,000","425,000",68,68,113/12/17,福邦,"1,000","28,900,000","154,686",0.27,
296,113/12/09,寬宏藝術,6596,上櫃增資,113/12/03,113/12/05,"425,000","425,000",70,70,113/12/17,福邦,"1,000","29,750,000","32,640",1.3,
297,113/12/06,合正,5381,上櫃增資,113/12/02,113/12/04,"2,550,000","2,550,000",24,24,113/12/16,元富,"1,000","61,200,000","14,448",17.64,
298,113/12/06,安倉,5548,上櫃增資,113/12/02,113/12/04,"1,275,000","1,275,000",26,26,113/12/16,華南永昌,"1,000","33,150,000","140,140",0.9,
299,113/12/05,jpp-KY,5284,第一上市公司現金增資,113/11/29,113/12/03,"255,000","255,000",113,113,113/12/13,凱基,"1,000","28,815,000","148,271",0.17,
300,113/12/05,達運光電,8045,初上市,113/11/29,113/12/03,"2,105,000","2,105,000",68.8,68.8,113/12/11,華南永昌,"1,000","144,824,000","192,162",1.09,
301,113/12/04,力領科技,6996,初上櫃,113/11/28,113/12/02,"748,000","748,000",200,200,113/12/10,兆豐,"1,000","149,600,000","165,048",0.45,
302,113/12/03,華孚,6235,上市增資,113/11/27,113/11/29,"493,000","493,000",50,50,113/12/11,福邦,"1,000","24,650,000","235,405",0.2,
303,113/12/03,北極星藥業-KY,6550,第一上市公司現金增資,113/11/27,113/11/29,"2,040,000","2,040,000",49,49,113/12/11,國泰,"1,000","99,960,000","27,696",7.36,
304,113/12/02,燿華,2367,上市增資,113/11/26,113/11/28,"3,400,000","3,400,000",26,26,113/12/10,臺銀證券,"1,000","88,400,000","201,066",1.69,
305,113/11/29,逸達,6576,上櫃增資,113/11/25,113/11/27,"1,530,000","1,530,000",76,76,113/12/09,元富,"1,000","116,280,000","24,693",6.19,
306,113/11/29,LINEPAY,7722,初上市,113/11/25,113/11/27,"1,748,000","1,748,000",508,508,113/12/05,凱基,"1,000","887,984,000","133,008",1.31,
307,113/11/28,吉茂,1587,上市增資,113/11/22,113/11/26,"680,000","680,000",30,30,113/12/06,宏遠,"1,000","20,400,000","232,381",0.29,
308,113/11/28,久昌,6720,初上櫃,113/11/22,113/11/26,"620,000","620,000",138,138,113/12/04,中國信託,"1,000","85,560,000","191,035",0.32,
309,113/11/25,台灣虎航,6757,創新板轉列上市,113/11/19,113/11/21,"1,790,000","1,790,000",40,40,113/11/29,台新,"1,000","71,600,000","857,752",0.2,
310,113/11/22,致和證,5864,上櫃增資,113/11/18,113/11/20,"8,150,000","8,150,000",13.8,13.8,113/12/02,統一,"2,000","112,470,000","185,114",2.2,
311,113/11/22,亞帝歐,3516,上櫃增資,113/11/18,113/11/20,"510,000","510,000",21,21,113/12/02,富邦,"1,000","10,710,000","154,046",0.33,
312,113/11/20,三商餐飲,7705,初上市,113/11/14,113/11/18,"1,216,000","1,216,000",70.88,70.88,113/11/26,國泰,"1,000","86,190,080","301,977",0.4,
313,113/11/20,ITH-KY,6962,第一上市公司初上市,113/11/14,113/11/18,"8,200,000","8,200,000",39.65,39.65,113/11/26,永豐金,"1,000","325,130,000","132,061",6.2,
314,113/11/19,風青,2061,上櫃增資,113/11/13,113/11/15,"880,000","880,000",18.6,18.6,113/11/27,大展,"1,000","16,368,000","25,535",3.44,
315,113/11/18,惠特,6706,上市增資,113/11/12,113/11/14,"425,000","425,000",132,132,113/11/26,凱基,"1,000","56,100,000","212,267",0.2,
316,113/11/15,夏都,2722,上市增資,113/11/11,113/11/13,"1,870,000","1,870,000",30,30,113/11/25,統一,"1,000","56,100,000","204,260",0.91,
317,113/11/14,中視,9928,上市增資,113/11/08,113/11/12,"850,000","850,000",15,15,113/11/22,台新,"1,000","12,750,000","152,183",0.55,
318,113/11/13,精剛,1584,上櫃增資,113/11/07,113/11/11,"3,400,000","3,400,000",32,32,113/11/21,凱基,"1,000","108,800,000","13,658",24.89,
319,113/11/12,富喬,1815,上櫃增資,113/11/06,113/11/08,"4,250,000","4,250,000",18.5,18.5,113/11/20,臺銀證券,"1,000","78,625,000","238,952",1.77,
320,113/11/11,全家餐飲,7708,初上櫃,113/11/05,113/11/07,"625,000","625,000",72,72,113/11/15,元大,"1,000","45,000,000","499,605",0.12,
321,113/11/07,浩鼎,4174,上櫃增資,113/11/01,113/11/05,"2,873,000","2,873,000",64,64,113/11/15,元富,"1,000","183,872,000","20,253",14.18,
322,113/11/07,銳澤,7703,初上櫃,113/10/31,113/11/05,"584,000","584,000",120,120,113/11/13,凱基,"1,000","70,080,000","258,780",0.22,
323,113/11/07,合晶,6182,上櫃增資,113/11/01,113/11/05,"2,550,000","2,550,000",26.5,26.5,113/11/15,富邦,"1,000","67,575,000","86,087",2.96,
324,113/11/05,順藥,6535,上櫃增資,113/10/29,113/11/01,"340,000","340,000",225,225,113/11/13,元富,"1,000","76,500,000","250,268",0.13,
325,113/11/05,慶豐富,9935,上市增資,113/10/29,113/11/01,"340,000","340,000",27.3,27.3,113/11/13,凱基,"1,000","9,282,000","132,643",0.25,
326,113/11/04,泰鼎-KY,4927,第一上市公司現金增資,113/10/28,113/10/30,"2,550,000","2,550,000",40,40,113/11/12,凱基,"1,000","102,000,000","95,028",2.68,
327,113/10/30,允強,2034,上市增資,113/10/24,113/10/28,"4,250,000","4,250,000",19,19,113/11/08,永豐金,"1,000","80,750,000","129,402",3.28,
328,113/10/24,宏全,9939,上市增資,113/10/18,113/10/22,"680,000","680,000",133,133,113/11/01,台新,"1,000","90,440,000","181,155",0.37,
329,113/10/23,沛波,6248,上櫃增資,113/10/17,113/10/21,"2,550,000","2,550,000",27,27,113/10/31,兆豐,"1,000","68,850,000","104,382",2.44,
330,113/10/23,世界,5347,上櫃增資,113/10/17,113/10/21,"17,000,000","17,000,000",88,88,113/10/31,凱基,"1,000","1,496,000,000","281,310",6.04,
331,113/10/21,星宇航空,2646,初上市,113/10/15,113/10/17,"79,900,000","79,900,000",20,20,113/10/25,第一金,"2,000","1,598,000,000","1,607,558",2.48,
332,113/10/18,神準,3558,上櫃增資,113/10/14,113/10/16,"850,000","850,000",125,125,113/10/28,凱基,"1,000","106,250,000","215,140",0.39,
333,113/10/17,全景軟體,8272,初上櫃,113/10/11,113/10/15,"366,000","366,000",59,59,113/10/23,富邦,"1,000","21,594,000","367,441",0.09,
334,113/10/17,三集瑞-KY,6862,第一上市公司初上市,113/10/11,113/10/15,"1,120,000","1,120,000",135,135,113/10/23,永豐金,"1,000","151,200,000","90,295",1.24,
335,113/10/16,永冠-KY,1589,第一上市公司現金增資,113/10/09,113/10/14,"1,275,000","1,275,000",40,40,113/10/24,永豐金,"1,000","51,000,000","13,157",9.69,
336,113/10/08,盟立,2464,上市增資,113/10/02,113/10/04,"765,000","765,000",63,63,113/10/17,中國信託,"1,000","48,195,000","133,441",0.57,
337,113/10/08,泰金-KY,6629,上櫃增資,113/09/30,113/10/04,"221,000","221,000",109,109,113/10/17,元大,"1,000","24,089,000","117,422",0.18,
338,113/09/30,劍麟,2228,上市增資,113/09/24,113/09/26,"319,000","319,000",88,88,113/10/08,凱基,"1,000","28,072,000","213,915",0.14,
339,113/09/30,中租-KY,5871,第一上市公司現金增資,113/09/24,113/09/26,"2,635,000","2,635,000",125,125,113/10/08,凱基,"1,000","329,375,000","251,235",1.04,
340,113/09/27,亞昕,5213,上櫃增資,113/09/23,113/09/25,"4,250,000","4,250,000",37.45,37.45,113/10/09,富邦,"1,000","159,162,500","5,062",83.95,
341,113/09/26,康霈*,6919,初上市,113/09/20,113/09/24,"3,320,000","3,320,000",433.8,433.8,113/10/02,元大,"1,000","1,440,216,000","121,637",2.72,
342,113/09/25,鴻呈,6913,初上櫃,113/09/19,113/09/23,"642,000","642,000",100.73,100.73,113/10/01,兆豐,"1,000","64,668,660","123,332",0.52,
343,113/09/24,華景電,6788,上櫃增資,113/09/18,113/09/20,"340,000","340,000",130,130,113/10/02,富邦,"1,000","44,200,000","290,992",0.11,
344,113/09/20,漢田生技,1294,初上櫃,113/09/13,113/09/18,"454,000","454,000",118,118,113/09/26,中國信託,"1,000","53,572,000","38,985",1.16,
345,113/09/20,王道銀乙特,2897B,上市增資,113/09/13,113/09/18,"23,750,000","23,750,000",12,12,113/09/30,元大,"5,000","285,000,000","13,121",36.2,
346,113/09/20,泓德能源-創,6873,創新板轉列上市,113/09/13,113/09/18,"1,700,000","1,700,000",188,188,113/09/26,元大,"1,000","319,600,000","128,056",1.32,
347,113/09/19,東研信超,6840,上櫃增資,113/09/12,113/09/16,"213,000","213,000",60,60,113/09/27,康和,"1,000","12,780,000","15,476",1.37,
348,113/09/19,汎瑋材料,6967,初上櫃,113/09/12,113/09/16,"596,000","596,000",50,50,113/09/25,凱基,"1,000","29,800,000","118,235",0.5,
349,113/09/19,美律,2439,上市增資,113/09/12,113/09/16,"425,000","425,000",95,95,113/09/27,富邦,"1,000","40,375,000","156,921",0.27,
350,113/09/19,中台,6923,初上市,113/09/12,113/09/16,"1,932,000","1,932,000",80,80,113/09/25,元大,"1,000","154,560,000","156,098",1.23,
351,113/09/16,新日興,3376,上市增資,113/09/10,113/09/12,"680,000","680,000",170,170,113/09/25,凱基,"1,000","115,600,000","89,526",0.75,
352,113/09/13,台特化,4772,初上櫃,113/09/09,113/09/11,"1,700,000","1,700,000",110,110,113/09/20,元大,"1,000","187,000,000","203,043",0.83,
353,113/09/11,聚和,6509,上櫃增資,113/09/05,113/09/09,"2,210,000","2,210,000",32,32,113/09/20,凱基,"1,000","70,720,000","130,551",1.69,
354,113/09/11,營邦,3693,上櫃增資,113/09/05,113/09/09,"383,000","383,000",330,330,113/09/20,元大,"1,000","126,390,000","67,431",0.56,
355,113/09/04,聯上,4113,上櫃增資,113/08/29,113/09/02,"1,700,000","1,700,000",31.9,31.9,113/09/12,合庫,"1,000","54,230,000","228,212",0.74,
356,113/09/04,巨有科技,8227,上櫃增資,113/08/29,113/09/02,"187,000","187,000",150,150,113/09/12,華南永昌,"1,000","28,050,000","153,480",0.12,
357,113/09/04,王座,2751,初上櫃,113/08/29,113/09/02,"518,000","518,000",70.8,70.8,113/09/10,永豐金,"1,000","36,674,400","112,929",0.45,
358,113/09/03,三商壽,2867,上市增資,113/08/28,113/08/30,"25,500,000","25,500,000",6.8,6.8,113/09/11,華南永昌,"5,000","173,400,000","167,600",3.04,
359,113/09/03,成信實業*,6969,創新板初上市,113/08/28,113/08/30,"648,000","648,000",32,32,113/09/09,富邦,"1,000","20,736,000","7,462",8.68,
360,113/08/27,汎銓,6830,上市增資,113/08/21,113/08/23,"425,000","425,000",120,120,113/09/04,台新,"1,000","51,000,000","62,256",0.68,
361,113/08/27,竹陞科技,6739,初上櫃,113/08/21,113/08/23,"526,000","526,000",75,75,113/09/02,群益金鼎,"1,000","39,450,000","259,299",0.2,
362,113/08/14,日盛台駿,6958,初上市,113/08/08,113/08/12,"4,100,000","4,100,000",30,30,113/08/20,台新,"1,000","123,000,000","132,266",3.09,
363,113/08/12,華邦電,2344,上市增資,113/08/06,113/08/08,"27,200,000","27,200,000",21,21,113/08/20,中國信託,"1,000","571,200,000","81,930",33.19,
364,113/08/09,萬潤,6187,上櫃增資,113/08/05,113/08/07,"532,000","532,000",223,223,113/08/19,兆豐,"1,000","118,636,000","46,155",1.15,
365,113/08/08,萬達寵物,6968,初上櫃,113/08/02,113/08/06,"701,000","701,000",68,68,113/08/14,福邦,"1,000","47,668,000","123,097",0.56,
366,113/08/07,台新藥,6838,初上市,113/08/01,113/08/05,"3,124,000","3,124,000",36,36,113/08/13,凱基,"1,000","112,464,000","193,231",1.61,
367,113/08/06,迅杰,6243,上市增資,113/07/31,113/08/02,"170,000","170,000",50,50,113/08/14,福邦,"1,000","8,500,000","37,662",0.45,
368,113/08/02,新光金,2888,上市增資,113/07/29,113/07/31,"141,950,000","141,950,000",8.3,8.3,113/08/12,永豐金,"10,000","1,178,185,000","421,041",3.37,
369,113/08/01,鈺創,5351,上櫃增資,113/07/26,113/07/30,"2,975,000","2,975,000",38,38,113/08/09,第一金,"1,000","113,050,000","80,934",3.67,
370,113/07/30,建舜電,3322,上櫃增資,113/07/23,113/07/26,"680,000","680,000",17.6,17.6,113/08/07,德信,"1,000","11,968,000","92,574",0.73,
371,113/07/30,銘旺科,2429,上市增資,113/07/23,113/07/26,"3,400,000","3,400,000",18.5,18.5,113/08/07,台新,"1,000","62,900,000","217,779",1.56,
372,113/07/29,上洋,6728,上櫃增資,113/07/19,113/07/23,"595,000","595,000",108,108,113/08/06,統一,"1,000","64,260,000","87,889",0.67,
373,113/07/29,東哥遊艇,8478,上市增資,113/07/19,113/07/23,"514,000","514,000",335,335,113/08/06,凱基,"1,000","172,190,000","48,846",1.05,
374,113/07/26,ABC-KY,6598,上市增資,113/07/18,113/07/22,"1,890,000","1,890,000",21,21,113/08/05,台新,"1,000","39,690,000","160,599",1.17,
375,113/07/26,信紘科,6667,上櫃增資,113/07/18,113/07/22,"119,000","119,000",129,129,113/08/05,台新,"1,000","15,351,000","186,174",0.06,
376,113/07/23,三洋實業,1472,上市增資,113/07/17,113/07/19,"850,000","850,000",51,51,113/08/02,台新,"1,000","43,350,000","168,732",0.5,
377,113/07/19,樂意,7584,初上櫃,113/07/15,113/07/17,"429,000","429,000",75,75,113/07/25,元富,"1,000","32,175,000","252,517",0.16,
378,113/07/19,安克,4188,上櫃增資,113/07/15,113/07/17,"900,000","900,000",23,23,113/07/29,福邦,"1,000","20,700,000","80,747",1.11,
379,113/07/19,翔名,8091,上櫃增資,113/07/15,113/07/17,"408,000","408,000",115,115,113/07/29,玉山,"1,000","46,920,000","177,903",0.22,
380,113/07/16,滿心,2916,上櫃增資,113/07/10,113/07/12,"850,000","850,000",42,42,113/07/24,福邦,"1,000","35,700,000","182,456",0.46,
381,113/07/12,大宇資,6111,上櫃增資,113/07/08,113/07/10,"442,000","442,000",65,65,113/07/22,第一金,"1,000","28,730,000","93,656",0.47,
382,113/07/11,佳和,1449,上市增資,113/07/05,113/07/09,"1,216,000","1,216,000",14,14,113/07/19,群益金鼎,"1,000","17,024,000","215,847",0.56,
383,113/07/08,廣運,6125,上櫃增資,113/07/02,113/07/04,"850,000","850,000",90,90,113/07/16,元大,"1,000","76,500,000","207,528",0.4,
384,113/07/05,柏騰,3518,上市增資,113/07/01,113/07/03,"1,020,000","1,020,000",25,25,113/07/15,台新,"1,000","25,500,000","163,179",0.62,
385,113/06/24,愛地雅,8933,上櫃增資,113/06/18,113/06/20,"2,200,000","2,200,000",8.8,8.8,113/07/02,台新,"1,000","19,360,000","65,553",3.35,
386,113/06/21,一詮,2486,上市增資,113/06/17,113/06/19,"1,020,000","1,020,000",72,72,113/07/01,福邦,"1,000","73,440,000","395,351",0.25,
387,113/06/19,裕慶-KY,6957,第一上市公司初上市,113/06/13,113/06/17,"1,105,000","1,105,000",138,138,113/06/25,中國信託,"1,000","152,490,000","93,206",1.18,
388,113/06/18,皇昌,2543,上市增資,113/06/12,113/06/14,"5,100,000","5,100,000",33,33,113/06/26,統一,"1,000","168,300,000","293,967",1.73,
389,113/06/17,富野,2736,上櫃增資,113/06/11,113/06/13,"850,000","850,000",20,20,113/06/25,元富,"1,000","17,000,000","147,749",0.57,
390,113/06/17,力致,3483,上櫃增資,113/06/11,113/06/13,"266,000","266,000",123,123,113/06/25,永豐金,"1,000","32,718,000","228,084",0.11,
391,113/06/14,正達,3149,上市增資,113/06/07,113/06/12,"3,400,000","3,400,000",19.6,19.6,113/06/24,統一,"1,000","66,640,000","169,193",2,
392,113/06/13,KKT-KY,6950,第一上市公司初上市,113/06/06,113/06/11,"1,845,000","4,613,000",88,---,113/06/19,統一,"1,000",---,0,0,取消申購
393,113/06/13,雲豹能源-創,6869,創新板轉列上市,113/06/06,113/06/11,"2,040,000","2,040,000",111,111,113/06/19,元富,"1,000","226,440,000","97,309",2.09,
394,113/06/12,共信-KY,6617,第一上櫃公司初上櫃,113/06/05,113/06/07,"2,650,000","2,650,000",141.16,141.16,113/06/18,台新,"1,000","374,074,000","100,410",2.63,
395,113/06/12,醫影,6637,初上櫃,113/06/05,113/06/07,"486,000","486,000",66,66,113/06/18,富邦,"1,000","32,076,000","206,683",0.23,
396,113/06/06,大武山,6952,初上市,113/05/31,113/06/04,"1,417,000","1,417,000",57.13,57.13,113/06/13,台新,"1,000","80,953,210","156,995",0.9,
397,113/06/05,來億-KY,6890,第一上市公司初上市,113/05/30,113/06/03,"5,098,000","5,098,000",85,85,113/06/12,富邦,"1,000","433,330,000","112,030",4.55,
398,113/06/05,巨漢,6903,初上櫃,113/05/30,113/06/03,"1,193,000","1,193,000",151,151,113/06/12,富邦,"1,000","180,143,000","162,871",0.73,
399,113/05/29,德微,3675,上櫃增資,113/05/23,113/05/27,"383,000","383,000",248.9,248.9,113/06/06,國票,"1,000","95,328,700","141,522",0.27,
400,113/05/15,潤德,6881,初上櫃,113/05/09,113/05/13,"255,000","255,000",165,165,113/05/21,第一金,"1,000","42,075,000","196,262",0.12,
401,113/05/14,錸寶,8104,上市增資,113/05/08,113/05/10,"1,445,000","1,445,000",30,30,113/05/22,福邦,"1,000","43,350,000","46,135",3.13,
402,113/05/13,麗豐-KY,4137,第一上市公司現金增資,113/05/07,113/05/09,"255,000","255,000",156,156,113/05/21,富邦,"1,000","39,780,000","80,734",0.31,
403,113/05/10,攸泰科技,6928,初上市,113/05/06,113/05/08,"1,980,000","1,980,000",65,65,113/05/16,福邦,"1,000","128,700,000","313,271",0.63,
404,113/05/07,巧新,1563,初上市,113/04/30,113/05/03,"4,050,000","4,050,000",70,70,113/05/13,凱基,"1,000","283,500,000","245,487",1.64,
405,113/05/07,家碩,6953,初上櫃,113/04/30,113/05/03,"462,000","462,000",216.8,216.8,113/05/13,元大,"1,000","100,161,600","173,626",0.26,
406,113/05/03,有成精密,4949,初上市,113/04/26,113/04/30,"1,044,000","1,044,000",24,24,113/05/09,福邦,"1,000","25,056,000","230,055",0.45,
407,113/04/26,阜爾運通,6914,初上市,113/04/22,113/04/24,"1,119,000","1,119,000",132,132,113/05/03,中國信託,"1,000","147,708,000","234,034",0.47,
408,113/04/12,泰福-KY,6541,第一上市公司現金增資,113/04/08,113/04/10,"2,700,000","2,700,000",48,48,113/04/22,元富,"1,000","129,600,000","22,537",11.98,
409,113/03/29,創為精密,6899,初上櫃,113/03/25,113/03/27,"752,000","752,000",50,50,113/04/08,凱基,"1,000","37,600,000","283,152",0.26,
410,113/03/26,智原,3035,上市增資,113/03/20,113/03/22,"1,020,000","1,020,000",310,310,113/04/03,宏遠,"1,000","316,200,000","109,070",0.93,
411,113/03/26,中裕,4147,上櫃增資,113/03/20,113/03/22,"1,700,000","1,700,000",82,82,113/04/03,元富,"1,000","139,400,000","84,269",2.01,
412,113/03/25,愛山林,2540,上市增資,113/03/19,113/03/21,"2,125,000","2,125,000",80,80,113/04/02,國泰,"1,000","170,000,000","186,233",1.14,
413,113/03/22,佑全,6929,初上櫃,113/03/18,113/03/20,"726,000","726,000",65.01,65.01,113/03/28,台新,"1,000","47,197,260","316,382",0.22,
414,113/03/20,眾福科,3168,初上市,113/03/14,113/03/18,"1,566,000","1,566,000",50,50,113/03/26,福邦,"1,000","78,300,000","266,461",0.58,
415,113/03/20,國邑*,6875,初上櫃,113/03/14,113/03/18,"2,306,000","2,306,000",65,65,113/03/26,國泰,"1,000","149,890,000","321,612",0.71,
416,113/03/20,立德,3058,上市增資,113/03/14,113/03/18,"3,060,000","3,060,000",15,15,113/03/28,永豐金,"1,000","45,900,000","200,449",1.52,
417,113/03/19,保綠KY,8423,第一上櫃公司現金增資,113/03/13,113/03/15,"1,063,000","1,063,000",16,16,113/03/27,元富,"1,000","17,008,000","280,193",0.37,
418,113/03/14,嘉基,6715,上市增資,113/03/08,113/03/12,"255,000","255,000",130,130,113/03/22,中國信託,"1,000","33,150,000","282,034",0.09,
419,113/03/14,米斯特,2941,初上櫃,113/03/08,113/03/12,"262,000","262,000",78,78,113/03/20,國泰,"1,000","20,436,000","191,891",0.13,
420,113/03/12,安倉,5548,初上櫃,113/03/06,113/03/08,"629,000","629,000",20,20,113/03/18,福邦,"1,000","12,580,000","340,703",0.18,
421,113/03/12,萬年清,6624,上櫃增資,113/03/06,113/03/08,"245,000","245,000",35,35,113/03/20,玉山,"1,000","8,575,000","174,280",0.14,
422,113/03/12,望隼,4771,初上市,113/03/06,113/03/08,"1,085,000","1,085,000",180,180,113/03/18,凱基,"1,000","195,300,000","354,533",0.3,
423,113/03/08,亞翔,6139,上市增資,113/03/04,113/03/06,"595,000","595,000",115,115,113/03/18,統一,"1,000","68,425,000","364,483",0.16,
424,113/03/04,諾貝兒,6844,初上櫃,113/02/26,113/02/29,"538,000","538,000",170,170,113/03/08,台新,"1,000","91,460,000","198,096",0.27,
425,113/03/04,IKKA-KY,2250,第一上市公司現金增資,113/02/26,113/02/29,"155,000","155,000",60,60,113/03/12,凱基,"1,000","9,300,000","253,016",0.06,
426,113/02/29,光聖,6442,上市增資,113/02/22,113/02/26,"791,000","791,000",57,57,113/03/08,台新,"1,000","45,087,000","574,682",0.13,
427,113/02/29,高雄銀,2836,上市增資,113/02/22,113/02/26,"42,500,000","42,500,000",10.7,10.7,113/03/08,富邦,"5,000","454,750,000","154,007",5.51,
428,113/02/27,日勝生,2547,上市增資,113/02/21,113/02/23,"6,375,000","6,375,000",8.7,8.7,113/03/07,國票,"1,000","55,462,500","77,995",8.17,
429,113/02/26,華鎂鑫,8087,上櫃增資,113/02/20,113/02/22,"765,000","765,000",40,40,113/03/06,國泰,"1,000","30,600,000","257,317",0.29,
430,113/02/22,鉅祥,2476,上市增資,113/02/16,113/02/20,"1,275,000","1,275,000",58,58,113/03/04,中國信託,"1,000","73,950,000","308,422",0.41,
431,113/02/21,易威,1799,上櫃增資,113/02/15,113/02/19,"510,000","510,000",28.6,28.6,113/03/01,第一金,"1,000","14,586,000","320,586",0.15,
432,113/02/21,立康,6242,上櫃增資,113/02/15,113/02/19,"425,000","425,000",45,45,113/03/01,玉山,"1,000","19,125,000","148,141",0.28,
433,113/02/21,穩得,6761,上櫃增資,113/02/15,113/02/19,"425,000","425,000",52.5,52.5,113/03/01,富邦,"1,000","22,312,500","260,814",0.16,
434,113/01/29,進能服,6692,初上櫃,113/01/23,113/01/25,"1,818,000","1,818,000",30,30,113/02/02,統一,"1,000","54,540,000","125,643",1.44,
435,113/01/26,嘉聯益,6153,上市增資,113/01/22,113/01/24,"3,400,000","3,400,000",18,18,113/02/05,宏遠,"1,000","61,200,000","123,478",2.75,
436,113/01/23,耀登,3138,上市增資,113/01/17,113/01/19,"298,000","298,000",120,120,113/01/31,國票,"1,000","35,760,000","182,029",0.16,
437,113/01/23,鉅陞,5529,上櫃增資,113/01/17,113/01/19,"1,530,000","1,530,000",13.7,13.7,113/01/31,國泰,"1,000","20,961,000","226,196",0.67,
438,113/01/23,玖鼎電力,4588,初上市,113/01/17,113/01/19,"663,000","663,000",45.88,45.88,113/01/29,富邦,"1,000","30,418,440","302,244",0.21,
439,113/01/23,兆豐金,2886,上市增資,113/01/17,113/01/19,"30,625,000","30,625,000",33,33,113/01/31,元大,"1,000","1,010,625,000","527,357",5.8,
440,113/01/18,昱展新藥,6785,初上櫃,113/01/12,113/01/16,"1,764,000","1,764,000",150,150,113/01/24,中國信託,"1,000","264,600,000","211,707",0.83,
441,113/01/18,力麗店,5364,上櫃增資,113/01/12,113/01/16,"1,700,000","1,700,000",19,19,113/01/26,兆豐,"1,000","32,300,000","65,387",2.59,
442,113/01/18,世界健身-KY,2762,第一上市公司初上市,113/01/12,113/01/16,"2,350,000","2,350,000",132,132,113/01/24,永豐金,"1,000","310,200,000","70,458",3.33,
443,113/01/17,百和興業-KY,8404,第一上市公司現金增資,113/01/11,113/01/15,"5,865,000","5,865,000",18,18,113/01/25,中國信託,"1,000","105,570,000","33,763",17.37,
