序號,抽籤日期,證券名稱,證券代號,發行市場,申購開始日,申購結束日,承銷股數,實際承銷股數,承銷價(元),實際承銷價(元),撥券日期(上市、上櫃日期),主辦券商,申購股數,總承銷金額(元),總合格件,中籤率(%),取消公開抽籤 
149,114/11/12,東方風能,7786,初上市,114/11/06,114/11/10,"3,484,000","3,484,000",168,168,114/11/18,永豐金,"1,000","585,312,000","125,333",2.77,
150,114/11/11,萊德光電-KY,7717,第一上櫃公司初上櫃,114/11/05,114/11/07,"521,000","521,000",77,77,114/11/17,中國信託,"1,000","40,117,000","53,777",0.96,
151,114/11/11,嘉實,3158,初上櫃,114/11/05,114/11/07,"660,000","660,000",80,80,114/11/17,群益金鼎,"1,000","52,800,000","186,940",0.35,
152,114/11/10,永冠-KY,1589,第一上市公司現金增資,114/11/04,114/11/06,"1,700,000","1,700,000",18,18,114/11/18,永豐金,"1,000","30,600,000","11,291",15.05,
153,114/11/07,麗臺,2465,上市增資,114/11/03,114/11/05,"850,000","850,000",45,45,114/11/17,元富,"1,000","38,250,000","221,616",0.38,
154,114/11/06,醣聯,4168,上櫃增資,114/10/31,114/11/04,"213,000","213,000",21.5,21.5,114/11/14,統一,"1,000","4,579,500","13,243",1.6,
155,114/11/04,百達-KY,2236,第一上市公司現金增資,114/10/29,114/10/31,"510,000","510,000",88,88,114/11/12,台新,"1,000","44,880,000","13,250",3.84,
156,114/10/31,晶心科,6533,上市增資,114/10/27,114/10/29,"450,000","450,000",263,263,114/11/10,凱基,"1,000","118,350,000","20,679",2.17,
157,114/10/29,鮮活果汁-KY,1256,第一上市公司現金增資,114/10/22,114/10/27,"165,000","165,000",145,145,114/11/06,兆豐,"1,000","23,925,000","28,080",0.58,
158,114/10/27,凱衛,5201,上櫃增資,114/10/20,114/10/22,"680,000","680,000",32,32,114/11/04,兆豐,"1,000","21,760,000","186,627",0.36,
159,114/10/23,宜特,3289,上櫃增資,114/10/17,114/10/21,"1,020,000","1,020,000",100,100,114/11/03,元富,"1,000","102,000,000","151,769",0.67,
160,114/10/23,弘憶股,3312,上市增資,114/10/17,114/10/21,"1,700,000","1,700,000",39.8,39.8,114/11/03,凱基,"1,000","67,660,000","25,396",6.69,
161,114/10/21,光速火箭,7782,初上櫃,114/10/15,114/10/17,"525,000","525,000",32.5,32.5,114/10/28,元富,"1,000","17,062,500","94,638",0.55,
162,114/10/21,昱臺國際,7716,初上櫃,114/10/15,114/10/17,"500,000","500,000",21,21,114/10/28,中國信託,"1,000","10,500,000","143,161",0.34,
163,114/10/21,皇家可口,7791,初上市,114/10/15,114/10/17,"2,240,000","2,240,000",72,72,114/10/28,凱基,"1,000","161,280,000","220,025",1.01,
164,114/10/16,世禾,3551,上櫃增資,114/10/09,114/10/14,"468,000","468,000",126,126,114/10/27,凱基,"1,000","58,968,000","235,203",0.19,
165,114/10/14,金色三麥,7757,初上櫃,114/10/07,114/10/09,"521,000","521,000",101,101,114/10/20,富邦,"1,000","52,621,000","271,555",0.19,
166,114/10/13,凱鈺,5468,上櫃增資,114/10/03,114/10/08,"2,079,000","2,079,000",13,13,114/10/21,台新,"1,000","27,027,000","69,107",3,
167,114/10/09,向榮生技,6794,創新板轉列上市,114/10/02,114/10/07,"491,000","491,000",50.8,50.8,114/10/16,宏遠,"1,000","24,942,800","239,320",0.2,
168,114/10/09,松川精密,7788,初上市,114/10/02,114/10/07,"1,366,000","1,366,000",95,95,114/10/16,元大,"1,000","129,770,000","312,189",0.43,
169,114/10/09,東聯互動,7738,初上櫃,114/10/02,114/10/07,"435,000","435,000",168,168,114/10/16,永豐金,"1,000","73,080,000","196,294",0.22,
170,114/10/03,錸寶,8104,上市增資,114/09/26,114/10/01,"1,063,000","1,063,000",32,32,114/10/15,福邦,"1,000","34,016,000","95,463",1.11,
171,114/09/25,廣越,4438,上市增資,114/09/19,114/09/23,"850,000","850,000",63,63,114/10/07,凱基,"1,000","53,550,000","125,520",0.67,
172,114/09/25,惠民實業,6971,初上櫃,114/09/19,114/09/23,"695,000","695,000",32.2,32.2,114/10/02,永豐金,"1,000","22,379,000","214,668",0.32,
173,114/09/24,遠東銀,2845,上市增資,114/09/18,114/09/22,"41,055,000","41,055,000",11.06,11.06,114/10/03,凱基,"5,000","454,068,300","208,992",3.92,
174,114/09/23,三商壽,2867,上市增資,114/09/17,114/09/19,"17,000,000","17,000,000",5.25,5.25,114/10/02,華南永昌,"5,000","89,250,000","70,404",4.82,
175,114/09/22,達明,4585,初上市,114/09/16,114/09/18,"3,104,000","3,104,000",238,238,114/09/26,元大,"1,000","738,752,000","789,800",0.39,
